omc_id,customer_name,kra_pin,payment_terms_days,credit_limit_kes,risk_rating,risk_profile,contact_email,phone,director_name,registered_address,incorporation_date,primary_bank_account,is_active
OMC-001,TotalEnergies Kenya,P787194506Z,15,70922700,Low,Medium,gabriellecameron@perez.com,(541)639-5376x7242,James Howard,"78161 Calderon River Suite 931, Lake Jeremyport, CO 31013",2013-10-11,GB06DMIO52553419283276,True
OMC-002,Vivo Energy,P214257751Z,60,42833825,Medium,Small,meagan89@hernandez.net,001-380-395-7015x43039,Jessica Silva,"710 Eric Estate, Carlsonfurt, MS 78605",2017-02-08,GB45OQIR01845146270482,True
OMC-003,Rubis Energy,P133729406Z,30,71237223,Low,Small,chad34@washington.org,001-773-876-3116,Rose Spence,"78248 Brandt Plains, Lake Larry, TN 85681",2013-03-16,GB04LOQO13315098393010,True
OMC-004,Gulf Energy,P882839238Z,45,26859215,High,High,nuneztracey@brown.com,633-938-7262,Allison Hill,"819 Johnson Course, East William, AK 74064",2024-11-19,GB89GWUW86379402654235,True
OMC-005,PetroOil Kenya,P180943908Z,15,45496489,High,High,jmorton@williams.com,432-867-7360,Allison Hill,"819 Johnson Course, East William, AK 74064",2024-11-11,GB89GWUW86379402654235,True
OMC-006,Hashi Energy,P439699535Z,45,60515368,Low,Small,james53@foster-powers.com,651.407.9911x838,James House,"8723 Robinson Centers Apt. 500, Shawhaven, GA 07956",2017-11-29,GB05QCFC91361939909169,True
OMC-007,Kobil,P990505735Z,15,68971471,Low,Small,bradley52@whitney.biz,+1-401-812-8059,Shirley Suarez,"8498 Elizabeth Plaza, Sarahville, FM 18102",2018-11-17,GB37IDDX82449353487401,True
OMC-008,National Oil,P344378798Z,15,45403012,Low,Small,andrewlee@ramirez-jones.com,(386)885-0142x940,Eric Nolan,"3315 Dickson Summit, East Michelle, AS 23707",2021-06-26,GB08NAFX56342160733754,True
OMC-009,Dalbit Petroleum,P695295870Z,45,75660404,Low,Medium,jamesortega@byrd-orr.org,001-746-980-4436,Richard Graham,"Unit 1693 Box 4060, DPO AP 71076",2019-10-05,GB53VXXX35615951484656,True
OMC-010,Tamoil,P334978881Z,45,58745446,Medium,Small,lindadominguez@williams-wright.com,927.488.9579x868,Michael Dixon,"148 Davis Terrace, Lake Lance, AS 26601",2020-11-23,GB34EABH79176936763201,True
OMC-011,Hass Petroleum,P477698143Z,15,23075222,Low,Small,karen68@navarro.info,946.470.6562,Karen Green,"734 Jones Heights Apt. 455, East Edwardfurt, UT 20529",2010-01-31,GB56WGCN65876036690967,True
OMC-012,Galana Energies,P673510887Z,30,71879738,High,High,meadowsbrittany@johnson.info,(804)665-3755,Allison Hill,"819 Johnson Course, East William, AK 74064",2024-12-14,GB89GWUW86379402654235,True
OMC-013,Lake Oil,P434961542Z,15,77399400,Low,Good,tsanders@jones.com,749-319-0586,Sandra King,"805 Debra Tunnel, Port Anthonybury, ID 03172",2018-02-06,GB88TEHE71937452991241,True
OMC-014,Texol Energies,P295249057Z,15,45509839,Low,Medium,zlewis@peterson-beard.com,+1-508-931-3678,Gloria Atkinson,"5726 Jessica Run, Christinaside, WI 63873",2021-11-29,GB06ONXS45314737996507,True
OMC-015,Mombasa Petroleum,P207939087Z,45,30915531,Low,Good,kennethward@smith-ferguson.com,6089427109,Katherine Mcguire,"3495 Tran Key, Barajasside, MA 46613",2018-05-09,GB80WOIJ43135182337498,True
OMC-016,KPA Marine,P180600295Z,30,64974694,Low,Medium,aaronhayes@harrison.com,001-671-434-9361x832,Glen Sheppard,"16719 Edward Valleys Suite 131, Obrienbury, WI 68995",2012-06-07,GB31MOOJ96499091334123,True
OMC-017,KAA Aviation,P538460431Z,15,60878089,Low,Good,manuel12@jenkins-simpson.biz,001-880-271-5451x68087,Christopher Parker,"1746 Mason Park Suite 190, Navarroview, AK 12471",2016-07-30,GB54HVSS04902787429671,True
OMC-018,Uganda National Oil,P304666325Z,30,30965755,Medium,Small,michellehill@morgan-french.com,9447997278,Isaiah Avila,"48247 Martinez Roads, Lake Eric, OH 02293",2012-01-10,GB36RNCH17127484677378,True
OMC-019,Tanzania Petroleum,P590622789Z,45,62949656,Low,Small,bowenrobert@booker.com,696-515-8657x80913,Phillip Bennett,"USNS Pollard, FPO AE 75447",2011-05-25,GB59MHYN05766270289517,True
OMC-020,Ethiopian Oil,P816014770Z,30,65943684,Medium,Small,nolansteven@byrd-moore.info,(894)764-7436x713,Jessica Garcia,"2400 Flynn Hill, Nicholasberg, IA 70122",2016-06-07,GB14NSVZ22219693792374,True
